Name,Address,Contact no.,Email
"Government College Of Engineering, Bargur Krishnagiri","Address : Government College Of Engineering, Bargurmadepalli Postbargur Krishnagiri, Tamil Nadu State, India",4343 - 266067,principal503@gmail.com
Salem Kongu Polytechnic College Veerapandi,"Address : 6/34, Thiruchengodu Main Road, Ariyanoor, Veerapandi (Po), Salem (Dt), Tamil Nadu State, India",427 - 2477099,chairmanskpc@gmail.com
G. V. Acharya Polytechnic Karjat,"Address : Veeracharya Technical  Education Campus, Opp. Shelu Suburban Railway Station, Shelu/Damat Karjat, Dist : Raigad, Maharashtra State, India",2148 - 229638,principalgvap@yahoo.com
The Kavery Polytechnic College Mettur,"Address : M. Kalipatti Post, Mecheri, Mettur Taluk, Salem District., Tamil Nadu State, India",4298 - 278156,kavinanth74@gmail.com
Karavali Polytechnic Mangalore,"Mangalore college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",824 - 2272124,kptneermarga@gmail.com
Sir Issac Newton Polytechnic College Pappakoil,"Address : Pappakoilandhanapettai (Post), Nagapattinam Pappakoil, Tamil Nadu State, India",4365 - 220551,765sinpc@gmail.com
"Agnel Charities Agnel Polytechnic Vashi, Navi Mumbai","Address : Sector-9a, Vashi, Navi Mumbaidist.Thane., Dist : Thane, Maharashtra State, India",22 - 27771000,423agnel@gmail.com
Mets Institute Of Technology-Polytechnic Nashik,"Address : Bhujbal Knowledge City Gat No.1071 Adgaon Nashik, Maharashtra State, India",253 - 2555825,principal_iot@bkc.met.edu
Nanasaheb Mahadik Polytechnic Institute,"Address : GAT No. 905 A/1, Pune- Banglore (NH 4) Highway, At Post. Peth Naka, Tal : Walwa, Dist. Sangli. PIN - 415 407, Maharashtra State, India","02342 252477, 86009 23333","office.nmpoly@gmail.com, office.nmpi@gmail.com"
Government Polytechnic Junagadh,"Address : Bhilkha Road, At & Post- Khadiya, Taluka & Dist-Junagadh-362263 Junagadh, Gujarat State, India",285 - 2681123,gp-junagadh-dte@gujarat.gov.in
Government Girls Polytechnic Rajnandgaon,"Address : Behind Transport Nagar, By-Pass Road, Pendri, Rajnandgaon (Cg), Chhattisgarh State, India",7744 - 292955,gpgrjn@gmail.com
International Maritime Academy Poonamallee,"Address : No.41, Zamin Korattur, Puthuchatram, Poonamallee Thiruvallur Highway, Chennai 600124., Tamil Nadu State, India",44 - 4426810913,imaprincipal41@gmail.com
Manakula Vinayagar Institute Of Technology Puducherry,"Address : Kalitheerthal Kuppam, Madagadipet, Pondicherry.Pin Code- 605 107 Puducherry, India",413 - 2643007,contactus@mvit.edu.in
Shri Someshwar Shikshan Prasarak Mandals Sharadchandra Pawar Institute Of Technology Someshwarnagar,"Address : Gat. No.-53, Waghalwadi, Post-Someshwarnagar, Tal-Baramati, Dist-Pune, 412306 Someshwarnagar, Dist : Pune, Maharashtra State, India",2112 - 283186,spc6722@gmail.com
Pandiyan Polytechnic College Tirupattur,"Address : Adhiyur Villageelavampatti Post Salem Roadtirupattur Tirupattur, Dist : Vellore, Tamil Nadu State, India",4179 - 220425,pandiyanpolytech@gmail.com
"Tatva Institute Of Technological Studie, (Tits), Modasa.","Address : Near Karna Pump, Modasa-Shamlaji Road, Modasa., Dist : Sabarkantha, Gujarat State, India",2774 - 242801,tatvafoundation@yahoo.co.in
V.K.R & V.N.B Polytechnic Gudivada,"Address : Eluru Road Gudivada, Dist : Krishna, Andhra Pradesh State, India",8674 - 242172,gudivadapolytechnic@yahoo.co.in
Rajkiya Engineering College Sonbhadra Churk,"Address : Rajkiya Engineering College Sonbhadra Churk, Uttar Pradesh State, India",5444 - 223166,u08122017@gmail.com
S.Veerasamy Chettiar Polytechnic College Puliangudi,"Address : S.V.Nagart.N.Puthukudipuliangudi. Puliangudi, Dist : Tirunelveli, Tamil Nadu State, India",4636 - 234282,svpolytechniccollege@gmail.com
Sir C Ramalinga Reddy Polytechnic Eluru,"Address : Vatluru Eluru, Dist : West Godavari, Andhra Pradesh State, India",8812 - 231407,principal.crrpoly@gmail.com
Sri Yvs & Sri Brm Polytechnic Mukteswaram,"Mukteswaram college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",918856 - 8856225365,yvsbrm@gmail.com
Suguna Polytechnic College Coimbatore,"Address : Nehru Nagar, Kalapatty Road, Civil Aerodrome Po Coimbatore, Tamil Nadu State, India",422 - 2223512,sugunapolytechniccollege@gmail.com
School Of Ocean Engineering And Underwater Technology Kochi,"Address : Kerala University Of Fisheries And Ocean Studies Campus, Panangad P.O Kochi, Dist : Ernakulam, Kerala State, India",484 - 4842700964,utypanangad@kufos.ac.in
Central Institute Of Plastics Engineering & Technology CIPET Korba,"Address :  Education Hub, Syahimudi, Block-Katghora, Korba, Chhattisgarh State, India",7759 - 9479230520,cipetkorbacg@gmail.com
Elumalaiyan Polytechnic College Kollumangudi,"Address : Thiruvarur Main Road, Kollumangudi, Nannilam Taluk, Dist : Thiruvarur, Tamil Nadu State, India",4366 - 233333,eptc_07@yahoo.com
"Dr. Panjabrao Deshmukh Girls Polytechnic, Amravati","Address : Rural Campus Shivaji Nagar, Amravati, Maharashtra State, India",721 - 2551414,vaishaligulhane9421@gmail.com
Sri Venkateshwaraa Polytechnic College Dharmapuri,"Address : Papinayakanahali Villagesogathur Postdharmapuri Dharmapuri, Tamil Nadu State, India",4342 - 294438,svpdpi@gmail.com
Matoshri Pratishthans Vishwabharti Polytechnic Institute Nanded,"Address : Jijau Nagar Nanded Latur Highway Khupsarwadi Post Vishnupuri Nanded Nanded Waghala, Maharashtra State, India",2462 - 229967,vishwapolynnd@gmail.com
Shaheed Bhagat Singh Polytechnic College Patti,"Patti college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",1851 - 244618,sbspoly@yahoo.com
Smt. T.K.R. Polytechnic Pamarru,"Address : Sai Nagar, Gudivada Road Pamarru, Dist : Krishna, Andhra Pradesh State, India",8674 - 254407,stkrp@yahoo.com
Maddala Ramakrishnamma Polytechnic Veeravasaram,"Address : M.R.K.Polytechn Ic, Veeravasaram, Veeravasaram Mandal, West Godavari District, Andhra Pradesh, Pin: 534 245, India",918816 - 286661,mrkp032@gmail.com
Seth Jaiprakash Mukandlal Polytechnic Ghaziabad,"Address : Sushila College Campus, Dayanand Nagar Ghaziabad, Uttar Pradesh State, India",120 - 2717493,sjmpolytechnic@yahoo.com
"D.Y.Patil Polytechnic, Ambi","Address : Sr. No. 124 & 126, A/P Ambi, Talegaon Dabhade, Tal-. Maval, Dist- Pune, Maharashtra State, India",2114 - 306231,0996principal@msbte.com
"Bhiwsan Patil Shinde Shikshan Gramin Vikas & Bahu. Sanstha, Shinde Polytechnic Anjani(Bk)","Address : Sr.No.643, 647, Anjani (Bk) Mehkar Dogon Highway Road, Tq-Mehkar Dist-Buldhana Anjani(Bk), Dist : Buldhana, Maharashtra State, India",7268 - 7268268813,principal21_shinde@rediffmail.com
Dhanalakshmi Srinivasan Engineering College Perambalur,"Address : Thuraiyur Road, Perambalur-621212, Tamil Nadu State, India",4328 - 220444,principaldsec@dsgroupmail.com
"Government Polytechnic College, Dabra","Address : Government Polytechnic College, Simariya Taal, Tehsil Dabra, Distt Gwalior M.P., Madhya Pradesh State, India",7524 - 7524222802,dabrapoly@gmail.com
C.V.Charantimath Rural Polytechnic Hungund,"Address : C.V.Charantimath Rural Polytechnic, Hungund, Nh-13, Dist : Bagalkot, Karnataka State, India",8351 - 200149,cvcrph.83@gmail.com
Dr.Mgr Polytechnic College Irumbedu,"Address : Acs Nagar, Irumbedu Village, Arni Taluk, Arni, Dist : Tiruvannamalai, Tamil Nadu State, India",4173 - 227375,drmgrpt@gmail.com
Vasantrao More Polytechnic Tehu/Parola,"Address : Tehu, Taluka-Parola Tehu/Parola, Dist : Jalgaon, Maharashtra State, India",2597 - 292444,vasantraomorepoly@gmail.com
Dpc Polytechnic College Pagalpatti,"Address : Chettiar Kadai Bus Stoppagalpatti-Posalem-Dt Pagalpatti, Dist : Salem, Tamil Nadu State, India",427 - 4272384444,dpcpolytechnic@gmail.com
Tadipatri Engineering College,"Address : Kadapa Road, Veerapuram (V), Tadipatri(M)., Dist : Anantapur, Andhra Pradesh State, India",8558 - 200266,tectdp@gmail.com
Behala Government Polytechnic Kolkata,"Kolkata college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",33 - 29701925,behalagovpoly@gmail.com
Kaliachak Government Polytechnic Malda,"Address : Kalikapur Bandh, P. O. : Bahadurpur, P. S. : Kaliachak, Dist - Malda, West Bengal, Pin - 732201, India",3512 - 7076872364,kaliachakgovtpoly@gmail.com
Kirodimal Institute Of Technology Raigarh,"Address : Post Box No-2, Village-Garhumaria, Orissa Road, Raigarh, Chhattisgarh State, India",7762 - 233562,kit_raigarh@rediffmail.com
"Shri Siddheshwar Devasthan Trusts, Shri Siddheshwar Womens Polytechnic, Solapur","Address : T.P. Ii, Plot No 74, Rupa Bhavani Mandir Road, Bhavani Peth, Solapur, Maharashtra State, India",217 - 2327878,siddhawomenpoly@gmail.com
Dusi Polytechnic College,"Address : Dusi Village &post, Cheyyar Taluk, Tiruvannamalai District Dusi, Tamil Nadu State, India",44 - 27242242,561dusipolytechnic@gmail.com
Sri Sakthi Polytechnic College Chengam,"Address : Che.Nachipattu &post Chengam, Dist : Tiruvannamalai, Tamil Nadu State, India",4188 - 222275,gsv_shakthi@yahoo.co.in
Gurukula Engineering School Bhubaneswar,"Address : At-Jamujharipo-Chhatabarbhubaenswar Bhubaneswar, Dist : Khordha, Odisha State, India",674 - 9238102899,gurukulaenggschool09@gmail.com
"Sri Venkateswara Institute Of Science And Technology, Svvt Vinjamur","Address : Sri Raghavendra Institute Of Science And Technologykavali-Udayagiri Roadvinjamur(Post&mandal)spsr Nellore(Dist)andhrapradesh-524228 Vinjamur, Andhra Pradesh State, India",8629 - 248334,srist_vvr@yahoo.co.in
Vasantdada Patil Pratishthans College Of Engineering And Visual Arts Mumbai,"Mumbai college is provider of Graduate Degree Applied Arts And Crafts, Engineering And Technology courses. Get institute course list, fees and contact. .. more details",22 - 24070547,principal@pvppcoe.ac.in
Maharaja Institute Of Technology Mysore,"Address : Maharaja Institute Of Technology Mysorebehind K R Millsbelawadi Villagenaguvanahalli Panchayatsrirangapatna Talukmandya Districtkarnataka, Dist : Mandya, Karnataka State, India",918236 - 292601,murali@mitmysore.in
Seshachala Institute Of Engineering & Technology Tirupati,"Address : Svs Nagar, Vadamala Village, Vadamalapeta, Tirupati., Dist : Chittoor, Andhra Pradesh State, India",8577 - 289111,seshachala98@gmail.com
M.A.R Polytechnic College Boothakudi,"Address : Tiruchirappalli - Viralimalai Main Roadboothakudi, Rasanaikenpatty Postilluppur Talukpudukkottai Districtpincode - 621 316 Boothakudi, Dist : Pudukkottai, Tamil Nadu State, India",4339 - 221155,marpolytechnic@gmail.com
Government Polytechnic College Palacode,"Address : Dharmapuri District Co-Op Sugar Mills Polytechnic College, Palacode, Dist : Dharmapuri, Tamil Nadu State, India",4348 - 222102,gptcpalacode@gmail.com
Bapuji Institute Of Engineering & Technology Davangere,"Address : Bapuji Institute Of Engineering & Technologyp.B. No.325, Shamanur Roaddavangere-577 004karnataka - India Davanagere, Karnataka State",8192 - 220938,principal@bietdvg.edu
"Vidya Prasarak Mandals Polytechnic, Thane","Address : Janadweepa, College Campus Chendani Bunder Road, Thane (W) 400601, Maharashtra State, India",22 - 25364494,vpmpoly@vpmthane.org
Aditya Institute Of Technology New Delhi,"Address : 107/9, Kishan Garh, Vasant Kunj, New Delhi, India",11 - 26125195,ait.newdelhi@gmail.com
Department Of Computer Science And Applications Rohtak,"Address : Department Of Computer Science & Applications Dde Buildingmaharshi Dayanand University Rohtak-124001maharshi Dayanand Universityrohtak-124001 Haryana, India",1262 - 1262393202,mpoojamdu@gmail.com
Sri Krishna Institute Of Technology Panapakkam,"Address : Navaneedham Nagarpanapakkamnear Padappai Panapakkam, Dist : Kanchipuram, Tamil Nadu State, India",44 - 27145526,principal.skit@gmail.com
Sampoorna Group Of Institutions Channapatna,"Address : Belekere, Mallur Hobli, Channapatna Taluk, Ramanagar Districtbelekere, Mallur Hobli, Channapatna Taluk, Ramanagar District, Dist : Ramanagara, Karnataka State, India",80 - 26644999,brundavaneducation@gmail.com
International Institute Of Information Technology Hyderabad,"Address : Prof. C R Rao Roadgachibowli Hyderabad, Dist : Rangareddi, Telangana State, India",40 - 66531000,registrar@iiit.ac.in
Meenaakshi Ramasamy Polytechnic College Thathanur,"Address : M.R Kalvi Nagar, Trichy Main Road, Thathanur(Po), Udayarpalayam(Tk), Ariyalur(Dt)621804, Tamil Nadu State, India",4331 - 245533,meenaakshiramasamypoly@gmail.com
Butler Polytechnic Vadodara,"Address : Fmti Capmuseme Circ Lesama Road Vadodara, Gujarat State, India",265 - 2652750306,dec606owner@gtu.edu.in
Sree Narayana Guru Polytechnic College Madukkarai,"Address : Sree Narayana Guru Nagar Madukkarai, Dist : Coimbatore, Tamil Nadu State, India",422 - 2622068,sngit_guru@yahoo.com
Rajiv Gandhi Polytechnic Musafirkhana,"Address : Musafirkhana District Amethi Up Pin 227813 Musafirkhana, Uttar Pradesh State, India",5361 - 5361222358,datafile624@gmail.com
Arya College Of Engineering & Information Technology Jaipur,"Address : Sp- 42 Kukas, Riico, Jaipurrajasthan302028, Rajasthan State, India",1426 - 227177,anurag4711@gmail.com
Government Polytechnic College Tiruchirappalli,"Address : Thuvakkudi Malaitiruchirappalii Tiruchirappalli, Tamil Nadu State, India",431 - 4312552226,gptc_trichy@yahoo.co.in
Loyola Institute Of Technology Chennai,"Address : Palanchurmevalurkuppamb Villagenazarathpet Postsriperumpudur Talukkanchipuram Districtpin- 600123 Chennai, Dist : Kanchipuram, Tamil Nadu State, India",44 - 26811552,litprincipaloffice@gmail.com
"Shri Gulabrao Deokar Polytechnic, Jalgaon","Address : P B No.113, Gat No.26/1, Mohadi Shivar, Jalgaon, Maharashtra State, India",257 - 2264872,principal@sgdpjalgaon.org
"M.S.M.S Rural Polytechnic, Marali Gangavathi","Address : Rudreshwara Nagar, Raichur Road(Sh) Marali Gangavathi, Dist : Koppal, Karnataka State, India",8533 - 276177,msmspolytech@gmail.com
Vgets Dr.G S M Rural Polytechnic Kuknoor,"Address : Yelburga Roadkuknoor Kuknoor, Dist : Koppal, Karnataka State, India",8534 - 230240,gsmrpkuknoor@gmail.com
Sharnbasva University Gulbarga,"Address : Sharnbasveshwara Institutions Campus, Kalaburagi ( Gulbarga) -585103, Karnataka, India",8472 - 8472277854,registrar@sharnbasvauniversity.edu.in
P.S.B. Polytechnic College Chennai,"Address : Rajiv Gandhi Road (Omr)#46, Thaiyur, Chennai., Dist : Kanchipuram, Tamil Nadu State, India",44 - 27402230,psb_505@yahoo.co.in
Bhagwan Mahaveer Institute Of Polytechnic Jagdishpur,"Address : Village- Jagdishpur, Near Railway Crossing Distt. Sonepat, Haryana State, India",130 - 2325600,bmipsonipat@gmail.com
Kcg College Of Technology Chennai,,44 - 28389001,principal@kcgcollege.com
Nagarjuna College Of Engineering And Technology Bangalore,"Address : Mudugurkivenkatagiri Kote Devanahalli Bangalore, Dist : Bangalore Rural, Karnataka State, India",80 - 8067462703,principal@ncetmail.com
Satya Institute Of Technology And Management Gajularega,"Address : Gajularega, Vizianagaram Gajularega, Andhra Pradesh State, India",8922 - 650789,sashi_majji@yahoo.com
Rajeev Polytechnic Hassan,"Address : Plot 1-D(P-2), Growth Centre, Bangalore-Mangalore Bypass Road, Bommanayakanahalli, Kasaba Hobli Hassan, Karnataka State, India",8172 - 243182,principalrp2009@gmail.com
Thdc Institute Of Hydro Power Engineering And Technology New Tehri,"Address : C/O Uttarakhand Technical University, Sudhowala, Dehradun And Thdc Campus, Bhagirathi Puram, Ehri Garhwal New Tehri, Dist : Tehri Garhwal, India",1376 - 235432,gstomar@ieee.org
Government Womens Polytechnic College Khargone,"Address : Near Tv Towerumarkhali Road Khargone, Madhya Pradesh State, India",7282 - 241200,prinpoly.khg@mp.gov.in
Government Polytechnic College Barwani,"Address : Anjad Road, In Front Of Sarla Grenite, Village Kari, Barwani, Madhya Pradesh State, India",7290 - 291524,barwani069@gmail.com
Government Polytechnic College Bhind,"Address : Lahar Road Bhind, Madhya Pradesh State, India",7534 - 231664,anilmanit@yahoo.com
Voice Of God Polytechnic College Namakkal,"Address : Devarayapuram Post Namakkal, Tamil Nadu State, India",4286 - 253337,739vogpc@gmail.com
Dhivya Polytechnic College,"Address : Gingee Road, Chetpet, Polur Taluk, Dist : Tiruvannamalai, Tamil Nadu State, India",4181 - 252283,dhivyapolytechnic@gmail.com
Jaya Polytechnic College Chennai,"Address : Prakash Nagar, Thiruninravur Chennai, Dist : Thiruvallur, Tamil Nadu State, India",44 - 26340707,567principal@gmail.com
A.V.C. Polytechnic College Mannampandal,"Address : Mannampandal-609305 Mayiladuthurainagai District Tamil Nadu India Mannampandal, Dist : Nagapattinam",4364 - 222202,avcpoly@gmail.com
Rise Krishna Sai Gandhi Group Of Institutions Ongole,"Address : Nh - 5, Valluru, Ongoleprakasam Dist, Dist : Prakasam, Andhra Pradesh State, India",8592 - 8592231452,rise_gandhi@yahoo.com
Swaminarayan College Of Engineering & Technology(Diploma) Saij,"Address : Opp. Kalol G.I.D.C., Mehasana Highway Saij, Dist : Gandhinagar, Gujarat State, India",2764 - 2764223805,ssvgkalol@gmail.com
Government Polytechnic Nasrullaganj,"Address : Govt Polytechnic College, Semalpani Road, Nasrullaganj, Sehore, M.P. -466331, Madhya Pradesh State, India",7563 - 7563279022,prinpoly.nasseh@mp.gov.in
Rajdhani Engineering College Jaipur,"Jaipur college is provider of Graduate Degree Engineering And Technology courses. Get institute course list, fees and contact. .. more details",141 - 2742575,recjpr@gmail.com
Om Polytechnic College Umred,"Address : Survey No. 79 & 85, Mouza - Parsodi, Tah. - Umred, Dist. - Nagpur, Maharashtra State, India",7116 - 244958,pgyadav.upu@rediffmail.com
Nellai College Of Engineering Tirunelveli,"Address : Maruthakulam P.O Nanguneri Taluk Tirunelveli, Tamil Nadu State, India",4635 - 256420,principal@nce.ac.in
Hms Rural Polytechnic Tumkur,"Address : Hms Rural Polytecnicnear Jas Tollgate Manchakalakuppe, N H 4, Tumkur-572104, Karnataka State, India",816 - 8162291507,principal491hmsrpt@gmail.com
Pavendar Bharathidasan Polytechnic College Mathur,"Address : Nataraj Nagar, Mathur, Pudukkottai Main Road, Trichy-620024, Dist : Tiruchirappalli, Tamil Nadu State, India",4339 - 250358,pabcetpoly@gmail.com
Government Polytechnic College For Girls Patiala,"Address : S.S.T. Nagar, Rajpura Road Patiala, Punjab State, India",175 - 2370158,principalgpcgpta@gmail.com
Jis School Of Polytechnic Kalyani,"Address : Block-A, Phase-Iii, Kalyani.Nadia, Dist : Nadia, West Bengal State, India",33 - 25025690,principal_jissp@jisgroup.org
V.M.Government Polytechnic College Narsinghpur Mp,"Address : Station Raod Narsinghpur Madhya Pradesh, Dist : Narsinhgpur, India",7792 - 236705,prinvmgp.nrp@mp.gov.in
"Shri Ram Murti Smarak College Of Engineering & Technology, Bareilly","Bareilly college is provider of Graduate Degree, Post Graduate Engineering And Technology, Management, Mca courses. Get institute course list, fees and contact. .. more details",581 - 2582246,cet@srmscet.edu
Roorkee College Of Polytechnic,,1332 - 232977,rcpuniverse09@gmail.com
Om Engineering College Junagadh,"Address : Junagadh-Bhesan Road, At : Chokli, Dist : Junagadhgujarat, Gujarat State, India",285 - 2852680500,oecjnd@gmail.com
"Shriram Institute Of Engineering And Technology(Polytechnic), Paniv","Address : At/P - Paniv, Tal- Malshiras, Dist - Solapur, Maharashtra State, India",2185 - 274055,sietpoly@gmail.com
M.A.M. College Of Engineering Tiruchirappalli,"Address : Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli, Tamilnadu - 621105, Tamil Nadu State, India",431 - 2650550,principalmamce@mamce.org
St. Josephs College Of Engineering And Technology Thanjavur,"Address : A. S. Nagar, Ellupatti, Rawasapatti Post, Inathukanpatti Village, Thanjavur - 613 403., Tamil Nadu State, India",4362 - 282466,sjcet.tnj@gmail.com
"Shri Ram Murti Smarak College Of Engineering, Technology & Research Bareilly","Address : Ram Murti Puram, Prahladpur, 13km. Bareilly Nainital Road, Bareilly- 243202, Uttar Pradesh State, India",581 - 2582701,cetr@srms.ac.in
Vidya Pratishthans Polytechnic College Indapur,"Address : Vidyanagari, Tarangwadi Indapur, Dist : Pune, Maharashtra State, India",2111 - 225600,vppci@vidyapratishthan.com
Dhar Polytechnic College,"Address : Dhar Polytechnic College, Near Bramahakundi, Dhar, Madhya Pradesh State, India",7292 - 235140,dharpoly@rediffmail.com
Shree Digamber Institute Of Technology Dausa,"Address : Nh -11, Mitrapura, Bhandarej Mode, Dausa, Pin Code -303501rajasthan, Rajasthan State, India",1427 - 283423,sditcollege@yahoo.com
"Hms Polytechnic (Government Aided), Minority Tumkur","Address : Shettihalli Main Road Tumkur, Karnataka State, India",816 - 2290106,principalhms306@gmail.com
Shreenivasa Polytechnic College Dharmapuri,"Address : B.Pallipatti (P.O), Pappireddipatti (T.K), Dharmapuri (D.T), Pin - 635 301., Tamil Nadu State, India",4346 - 4346245159,shreenivasapolytechnic@gmail.com
Thamirabharani Engineering College Tirunelveli,"Tirunelveli college is provider of Graduate Degree Engineering And Technology courses. Get institute course list, fees and contact. .. more details",462 - 2301266,senthilla@hotmail.com
Sigma Engineering College (Matar) Bharuch,"Address : At: Matarta: Amoddist: Bharuch, Gujarat State, India",2641 - 2652633620,principal.engg@leads-india.ac.in
Guru Jambheshwar University Of Science & Technology Hisar,"Address : Delhi-Sirsa Road Hisar, Haryana State, India",1662 - 1662276025,registrar@gjust.org
T.F.Gandhidham Polytechnic Adipur,"Adipur college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",2836 - 260249,tfgpadp@yahoo.co.in
Modish Institute Of Polytechnic Punhana,"Address : Village Gheera Punhana, Dist : Mewat, Haryana State, India",1268 - 1268271012,modishcollege@gmail.com
Samskruti College Of Engineering And Technology Hyderabad,"Address : Kondapur Village, Ghatkesar Mandalr.R.Dist., Pin - 501301 Hyderabad, Dist : Rangareddi, Telangana State, India",8415 - 222491,principal.samskruti@gmail.com
Svs Polytechnic College Ramadevam,"Address : R.Puduppalayam, Mel Sathampoor Road Ramadevam, Dist : Namakkal, Tamil Nadu State, India",4268 - 291099,svstech@yahoo.com
Technique Polytechnic Institute Panchrokhi,"Address : Vill.- Panchrokhi, P.O. Sugandhya, P.S. Polba, Dist. Hooghly, West Bengal, Pin- 712102, India",33 - 9830482096,techniqueedu@gmail.com
S.A. Polytechnic College Chennai,"Address : Sundarasolavaram, Thiruverkadu Post, Chennai - 600077, Dist : Thiruvallur, Tamil Nadu State, India",44 - 26800666,sapolytechniccollege@yahoo.com
Raja Desingh Polytechnic College Gingee,,4145 - 235440,rdpolytechnic@yahoo.com
Hyderabad Karnataka Education Societys Polytechnic Gulbarga,"Address : Beside Msi Degree College, Aiwan - E Shahi Area, Station Bazar, Gulbarga 585102, Karnataka State, India",8472 - 232465,hkesboyspolyglb@yahoo.com
Ganpati C Niwaru,"Address : Niwaru Roadjhotwarajaipur (Raj) Niwaru, Dist : Jaipur, Rajasthan State, India",141 - 6595287,sumitbudania@yahoo.com
"Government Polytechnic, Himatnagar","Address : Gadhoda Road, Motipura Himatnagar, Dist : Sabarkantha, Gujarat State, India",2772 - 229285,gp-himatnagar-dte@gujarat.gov.in
Swami Vivekanand Polytechnic College Rajpura,"Address : Chandigarh-Patiala National Highway, Sector 8, Ramnagar, Banur, Patiala Rajpura, Punjab State, India",1762 - 507353,directorplaning@gmail.com
Sri Sukhmani Polytechnic Dera Bassi,"Address : Dera Bassi, Distt. Mohali, Punjab, Pin140507, India Dera Bassi",1762 - 524801,daman@srisukhmanigroup.edu.in
P D M Institute Of Engineering & Technology Safidon,"Address : Village Karsindhu Tehsil Safidon Distt Jind, Haryana State, India",1686 - 237890,pdmkarsindhu@gmail.com
B.H.S.S.Trusts Polytechnic Malegaon,"Address : Bhaygaon Road, Malegaon Camp, Dist : Nashik, Maharashtra State, India",2554 - 252539,principal.kbhsst@gmail.com9
Kinkar Institute Of Technology Seloo,"Address : Rehaki Road, Seloo, Dist : Wardha, Maharashtra State, India",7155 - 220240,principal.kit4612@gmail.com
Guntur Engineering College,"Address : Opp. Katuri Medical College, Nh - 5, Yanamadala, Guntur - 522019, Andhra Pradesh State, India",863 - 2288887,principalgec@gmail.com
Ipcowala Institute Of Engineering & Technology Dharmaj,"Address : Amrapali Township, Petlad-Khambhat Road, Dharmaj-388430, Ta : Petlad, Dist : Anand, Gujarat State, India",2697 - 245808,ipcowalaengg@gmail.com
Rkdf Institute Of Science & Technology Bhopal,"Address : Nh-12, Hoshangabad Roadmisrod, Bhopal, Madhya Pradesh State, India",755 - 4700981,rkdfistmca.1999@gmail.com
Ilahia College Of Engineering And Technology Muvattupuzha,"Address : Mulavoor P.Omuvattupuzha, Ernakulam Dist.Kerala. Muvattupuzha, Kerala State, India",485 - 8078303883,ilahia@icet.ac.in
Sri Annamalai Polytechnic College Ulundurpet,"Ulundurpet college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",4149 - 209609,saptc2009@gmail.com
Tagore Institute Of Research & Technology Jamalpur,"Address : Vpo--Jamalpurdistrict--Gurgaon Jamalpur, Dist : Gurgaon, Haryana State, India",124 - 2280286,dineshy743@gmail.com
Nanjiah Lingammal Polytechnic College Mettupalayam,"Address : Sirumugai Road, Mettupalayam, Dist : Coimbatore, Tamil Nadu State, India",4254 - 223008,318nlp@gmail.com
Sirda Institute Of Engineering Technology Sundernagar,"Address : Village-Tarot, Post Office-Kanaid, Tehsil- Sundernagar, District- Mandi, Himachal Pradesh, India",1907 - 262512,sirda.edu@gmail.com
N.E.S. Polytechnic Gulbarga,"Address : N.E.S.Polytechnic Rajapur, Shahabad Road Gulbarga, Karnataka State, India",8472 - 8472266041,rajhiremath08@gmail.com
Noble Group Of Institutions Junagadh,"Address : Parth - Vatika, Junagadh - Bhesan Road, Via - Vadal, Nr. Bamangam, Dist. - Junagadh., Gujarat State, India",285 - 2902244,aicte@ngivbt.edu.in
Mukdam Bihari Lal College Of Technology And Management Mahuan,"Address : Nh-2, Mahuan, Farah, Mathura, Uttar Pradesh State, India",565 - 2480181,mblctm@yahoo.com
Latha Mathavan Polytechnic College Kidaripatti,"Address : Latha Mathavan Nagarkidaripatti Postalagarkovilmelur Talukmadurai Kidaripatti, Dist : Madurai, Tamil Nadu State, India",452 - 2556703,krttrust@gmail.com
Shri Prince Shivaji Maratha Boarding Houses New Polytechnic Uchagaon,"Uchagaon college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",231 - 2615168,newpolytechnic@yahoo.co.in
"J.S. University, Shikohabad","Address : 5 Km, Mainpuri Road, Shikohabad, Distt.- Firozabad, Up, Uttar Pradesh State, India",5676 - 235572,jsimtshikohabad@gmail.com
"Dr. Jivraj N. Mehta Government Polytechnic, Amreli","Address : Lathi Road, Nr. Railway Crossing Amreli, Gujarat State, India",2792 - 2792223347,drjnmgp@gmail.com
Awh Engineering College Kozhikode,"Address : Pattayilkunnu Kuttikkattoor- Pokozhikode -Dtkerala State673008 - Pin Kozhikode, Kerala State, India",495 - 4952358747,principal@awhengg.org
Impact College Of Engineering And Applied Sciences Bangalore,"Address : Kodigehallisahakaranagar Southbangalore Bangalore, Dist : Bangalore Urban, Karnataka State, India",80 - 23334101,iceas04@yahoo.com
Jeppiaar Srr Engineering College Chennai,"Address : Old Maamallapuram Road, Ram Nagar, Padur, Chennai - 603103, Dist : Kanchipuram, Tamil Nadu State, India",44 - 27416131,admin@jeppiaarsrr.in
